comp_time,is_convex,nu,outlier_ratio,test_accuracy,trial
0.09317398071289062,True,0.9,0.0,0.9785,0.0
0.09013915061950684,True,0.8,0.0,0.978,0.0
0.05409598350524902,True,0.7,0.0,0.983,0.0
0.05997109413146973,True,0.6,0.0,0.9835,0.0
0.08973002433776855,True,0.5,0.0,0.9795,0.0
0.0894770622253418,True,0.4,0.0,0.981,0.0
0.04924297332763672,True,0.29999999999999993,0.0,0.9855,0.0
0.17737197875976562,True,0.19999999999999996,0.0,0.9785,0.0
0.0765388011932373,True,0.1,0.0,0.982,0.0
0.09174990653991699,True,0.9,0.0,0.964,1.0
0.10306191444396973,True,0.8,0.0,0.974,1.0
0.05226612091064453,True,0.7,0.0,0.9785,1.0
0.05689692497253418,True,0.6,0.0,0.982,1.0
0.06450796127319336,True,0.5,0.0,0.982,1.0
0.05116605758666992,True,0.4,0.0,0.983,1.0
0.08709096908569336,True,0.29999999999999993,0.0,0.983,1.0
0.08783102035522461,True,0.19999999999999996,0.0,0.984,1.0
0.11023688316345215,True,0.1,0.0,0.981,1.0
0.05659079551696777,True,0.9,0.0,0.9785,2.0
0.16651582717895508,True,0.8,0.0,0.982,2.0
0.05519294738769531,True,0.7,0.0,0.9815,2.0
0.08432316780090332,True,0.6,0.0,0.9835,2.0
0.08132386207580566,True,0.5,0.0,0.985,2.0
0.08654999732971191,True,0.4,0.0,0.985,2.0
0.07955598831176758,True,0.29999999999999993,0.0,0.9855,2.0
0.16282200813293457,True,0.19999999999999996,0.0,0.9845,2.0
0.05388689041137695,True,0.1,0.0,0.974,2.0
0.11846804618835449,True,0.9,0.0,0.951,3.0
0.04873013496398926,True,0.8,0.0,0.9765,3.0
0.06265783309936523,True,0.7,0.0,0.977,3.0
0.05301499366760254,True,0.6,0.0,0.98,3.0
0.06539297103881836,True,0.5,0.0,0.9825,3.0
0.08083796501159668,True,0.4,0.0,0.9815,3.0
0.053955078125,True,0.29999999999999993,0.0,0.984,3.0
0.05486798286437988,True,0.19999999999999996,0.0,0.9805,3.0
0.05067014694213867,True,0.1,0.0,0.9825,3.0
0.12259507179260254,True,0.9,0.0,0.98,4.0
0.05199098587036133,True,0.8,0.0,0.9825,4.0
0.05399298667907715,True,0.7,0.0,0.9825,4.0
0.0828409194946289,True,0.6,0.0,0.983,4.0
0.051361083984375,True,0.5,0.0,0.983,4.0
0.0865929126739502,True,0.4,0.0,0.9825,4.0
0.05263996124267578,True,0.29999999999999993,0.0,0.9825,4.0
0.05589485168457031,True,0.19999999999999996,0.0,0.981,4.0
0.052288055419921875,True,0.1,0.0,0.9785,4.0
0.05243802070617676,True,0.9,0.0,0.975,5.0
0.06199193000793457,True,0.8,0.0,0.9825,5.0
0.053164005279541016,True,0.7,0.0,0.9835,5.0
0.05487799644470215,True,0.6,0.0,0.9835,5.0
0.052861928939819336,True,0.5,0.0,0.9825,5.0
0.054653167724609375,True,0.4,0.0,0.981,5.0
0.05067586898803711,True,0.29999999999999993,0.0,0.983,5.0
