comp_time,is_convex,nu,outlier_ratio,test_accuracy,trial
0.021554946899414062,True,0.9,0.0,0.989,0.0
0.023991107940673828,True,0.8,0.0,0.989,0.0
0.02384495735168457,True,0.7,0.0,0.989,0.0
0.024248838424682617,True,0.6,0.0,0.99,0.0
0.022105932235717773,True,0.5,0.0,0.991,0.0
0.02617192268371582,True,0.4,0.0,0.992,0.0
0.021954059600830078,True,0.29999999999999993,0.0,0.99,0.0
0.023281097412109375,True,0.19999999999999996,0.0,0.991,0.0
0.021791934967041016,True,0.1,0.0,0.988,0.0
0.02863001823425293,True,0.9,0.0,0.977,1.0
0.026684045791625977,True,0.8,0.0,0.979,1.0
0.02392101287841797,True,0.7,0.0,0.98,1.0
0.023661136627197266,True,0.6,0.0,0.98,1.0
0.025434017181396484,True,0.5,0.0,0.98,1.0
0.023154020309448242,True,0.4,0.0,0.984,1.0
0.025387048721313477,True,0.29999999999999993,0.0,0.982,1.0
0.024594783782958984,True,0.19999999999999996,0.0,0.982,1.0
0.025635957717895508,True,0.1,0.0,0.982,1.0
0.0294649600982666,True,0.9,0.0,0.979,2.0
0.030942916870117188,True,0.8,0.0,0.979,2.0
0.021565914154052734,True,0.7,0.0,0.978,2.0
0.023540019989013672,True,0.6,0.0,0.978,2.0
0.02266407012939453,True,0.5,0.0,0.977,2.0
0.027961015701293945,True,0.4,0.0,0.975,2.0
0.023713111877441406,True,0.29999999999999993,0.0,0.978,2.0
0.02411794662475586,True,0.19999999999999996,0.0,0.981,2.0
0.020023107528686523,True,0.1,0.0,0.976,2.0
0.02279496192932129,True,0.9,0.0,0.978,3.0
0.03369402885437012,True,0.8,0.0,0.976,3.0
0.020500898361206055,True,0.7,0.0,0.977,3.0
0.025683879852294922,True,0.6,0.0,0.98,3.0
0.023650169372558594,True,0.5,0.0,0.978,3.0
0.019989967346191406,True,0.4,0.0,0.977,3.0
0.02242112159729004,True,0.29999999999999993,0.0,0.979,3.0
0.02244710922241211,True,0.19999999999999996,0.0,0.976,3.0
0.023905038833618164,True,0.1,0.0,0.974,3.0
0.022082090377807617,True,0.9,0.0,0.983,4.0
0.02967095375061035,True,0.8,0.0,0.984,4.0
0.02130603790283203,True,0.7,0.0,0.981,4.0
0.02449798583984375,True,0.6,0.0,0.979,4.0
0.02469611167907715,True,0.5,0.0,0.981,4.0
0.022096872329711914,True,0.4,0.0,0.974,4.0
0.026601791381835938,True,0.29999999999999993,0.0,0.98,4.0
0.0205690860748291,True,0.19999999999999996,0.0,0.985,4.0
0.04285693168640137,False,0.1,0.0,0.985,4.0
0.0223391056060791,True,0.9,0.0,0.979,5.0
0.031003952026367188,True,0.8,0.0,0.982,5.0
0.025400161743164062,True,0.7,0.0,0.983,5.0
0.02472686767578125,True,0.6,0.0,0.983,5.0
0.023079872131347656,True,0.5,0.0,0.983,5.0
0.021444082260131836,True,0.4,0.0,0.986,5.0
0.02069997787475586,True,0.29999999999999993,0.0,0.985,5.0
0.0226590633392334,True,0.19999999999999996,0.0,0.985,5.0
0.03104090690612793,True,0.1,0.0,0.985,5.0
0.025858163833618164,True,0.9,0.0,0.98,6.0
0.03220510482788086,True,0.8,0.0,0.978,6.0
0.026643991470336914,True,0.7,0.0,0.981,6.0
0.025600910186767578,True,0.6,0.0,0.981,6.0
0.024809837341308594,True,0.5,0.0,0.982,6.0
0.022738933563232422,True,0.4,0.0,0.982,6.0
0.02413010597229004,True,0.29999999999999993,0.0,0.98,6.0
0.02742600440979004,True,0.19999999999999996,0.0,0.984,6.0
0.027083158493041992,True,0.1,0.0,0.978,6.0
0.026983022689819336,True,0.9,0.0,0.981,7.0
0.028738975524902344,True,0.8,0.0,0.982,7.0
0.02464604377746582,True,0.7,0.0,0.986,7.0
0.022719860076904297,True,0.6,0.0,0.986,7.0
0.023395061492919922,True,0.5,0.0,0.985,7.0
0.02590012550354004,True,0.4,0.0,0.982,7.0
0.0231630802154541,True,0.29999999999999993,0.0,0.983,7.0
0.019758939743041992,True,0.19999999999999996,0.0,0.983,7.0
0.02578115463256836,True,0.1,0.0,0.976,7.0
